YEAR,COUNTRY,RUNUP_HT,DEATHS,CAUSE,isTop10
2004,INDONESIA,8.5,0, ,True
2004,INDONESIA,14.0,0, ,True
2004,INDONESIA,8.7,0, ,True
1888,INDONESIA,0.0,0, ,True
1891,INDONESIA,0.0,0, ,True
2004,INDONESIA,19.5,0, ,True
2004,INDONESIA,19.5,0, ,True
2004,INDONESIA,19.7,0, ,True
2004,INDONESIA,20.0,0, ,True
2004,INDONESIA,7.0,0, ,True
2004,INDONESIA,20.0,0, ,True
2004,INDONESIA,7.1,0, ,True
2004,INDONESIA,7.2,0, ,True
2004,INDONESIA,20.2,0, ,True
2004,INDONESIA,7.2,0, ,True
2004,INDONESIA,7.5,0, ,True
2004,INDONESIA,20.7,0, ,True
2004,INDONESIA,7.7,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.6,0, ,True
2004,INDONESIA,12.2,0, ,True
2004,INDONESIA,21.0,0, ,True
2004,INDONESIA,13.5,0, ,True
2004,INDONESIA,10.4,0, ,True
2004,INDONESIA,21.2,0, ,True
2004,INDONESIA,10.7,0, ,True
2004,INDONESIA,21.5,0, ,True
2004,INDONESIA,11.0,0, ,True
2004,INDONESIA,6.5,0, ,True
2004,INDONESIA,21.5,0, ,True
2004,INDONESIA,4.9,0, ,True
2004,INDONESIA,11.1,0, ,True
2004,INDONESIA,11.5,0, ,True
2004,INDONESIA,21.6,0, ,True
2004,INDONESIA,11.5,0, ,True
2004,INDONESIA,11.5,0, ,True
2004,INDONESIA,21.7,0, ,True
2004,INDONESIA,11.5,0, ,True
2004,INDONESIA,11.5,0, ,True
2004,INDONESIA,21.7,0, ,True
2004,INDONESIA,21.8,0, ,True
2004,INDONESIA,22.5,0, ,True
2004,INDONESIA,22.6,0, ,True
2004,INDONESIA,23.1,0, ,True
2004,INDONESIA,23.5,0, ,True
2004,INDONESIA,11.6,0, ,True
2004,INDONESIA,11.9,0, ,True
2004,INDONESIA,11.9,0, ,True
2004,INDONESIA,12.0,0, ,True
